function,size,cc,instr,lds,cpi,loads_per_instr,loads_per_cycle,memory_intensity,classification
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,28587,19622,28612,1.457,1.458,1.001,1.458,memory-bound
Multiply,121x16x16,34513,27972,34538,1.234,1.235,1.001,1.235,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,320474,231299,320499,1.386,1.386,1.0,1.386,memory-bound
Multiply,121x16x4,8293,4293,8318,1.932,1.938,1.003,1.938,memory-bound
Multiply,121x4x16,34513,27972,34538,1.234,1.235,1.001,1.235,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,339163,240898,339188,1.408,1.408,1.0,1.408,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,28587,19622,28612,1.457,1.458,1.001,1.458,memory-bound
Multiply,121x16x16,34513,27972,34538,1.234,1.235,1.001,1.235,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,320474,231299,320499,1.386,1.386,1.0,1.386,memory-bound
Multiply,121x16x4,8293,4293,8318,1.932,1.938,1.003,1.938,memory-bound
Multiply,121x4x16,34513,27972,34538,1.234,1.235,1.001,1.235,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,339163,240898,339188,1.408,1.408,1.0,1.408,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,1.273,1.274,1.0,1.274,memory-bound
Transpose,121x4,4861,3402,4886,1.429,1.436,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1.758,1.758,1.0,1.758,memory-bound
MatMul,121x121x4,28587,19622,28612,1.457,1.458,1.001,1.458,memory-bound
Multiply,121x16x16,34513,27972,34538,1.234,1.235,1.001,1.235,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,320474,231299,320499,1.386,1.386,1.0,1.386,memory-bound
Multiply,121x16x4,8293,4293,8318,1.932,1.938,1.003,1.938,memory-bound
Multiply,121x4x16,34513,27972,34538,1.234,1.235,1.001,1.235,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,1x16,2852,2032,2877,1.404,1.416,1.009,1.416,memory-bound
Multiply,1x16x16,313,252,338,1.242,1.341,1.08,1.341,memory-bound
